actor,character
Sean Bean[a],"Eddard ""Ned"" Stark"
Mark Addy,Robert Baratheon
Nikolaj Coster-Waldau,Jaime Lannister
Michelle Fairley,Catelyn Stark
Lena Headey[b],Cersei Lannister
Emilia Clarke,Daenerys Targaryen
Iain Glen,Jorah Mormont
Harry Lloyd,Viserys Targaryen
Kit Harington,Jon Snow
Sophie Turner,Sansa Stark
Maisie Williams,Arya Stark
Richard Madden,Robb Stark
Alfie Allen,Theon Greyjoy
Isaac Hempstead Wright,Bran Stark
Jack Gleeson,Joffrey Baratheon
Rory McCann,"Sandor ""The Hound"" Clegane"
Peter Dinklage,Tyrion Lannister
Jason Momoa,Khal Drogo
Aidan Gillen,"Petyr ""Littlefinger"" Baelish"
Liam Cunningham,Davos Seaworth
John Bradley,Samwell Tarly
Stephen Dillane,Stannis Baratheon
Carice van Houten,Melisandre
James Cosmo,Jeor Mormont
Jerome Flynn,Bronn
Conleth Hill,Varys
Sibel Kekilli,Shae
Natalie Dormer,Margaery Tyrell
Charles Dance,Tywin Lannister
Oona Chaplin,Talisa Maegyr
Rose Leslie,Ygritte
Joe Dempsie,Gendry
Kristofer Hivju,Tormund Giantsbane
Gwendoline Christie,Brienne of Tarth
Iwan Rheon,Ramsay Bolton
Hannah Murray,Gilly
Michiel Huisman[c],Daario Naharis
Nathalie Emmanuel,Missandei
Indira Varma,Ellaria Sand
Dean-Charles Chapman[d],Tommen Baratheon
Tom Wlaschiha[e],Jaqen H'ghar
Michael McElhatton,Roose Bolton
Jonathan Pryce,The High Sparrow
Jacob Anderson,Grey Worm
Julian Glover,Grand Maester Pycelle
Ian Beattie,Meryn Trant
Kristian Nairn[a],Hodor
Mark Stanley,Grenn
Natalia Tena,Osha
Art Parkinson,Rickon Stark
Esmé Bianco,Ros
Hafþór Júlíus Björnsson[b],Gregor Clegane
Dominic Carter,Janos Slynt
Eugene Simon,Lancel Lannister
Nell Tiger Free[c],Myrcella Baratheon
Ron Donachie[d],Rodrik Cassel
Donald Sumpter,Maester Luwin
Amrita Acharia,Irri
Roxanne McKee,Doreah
Gethin Anthony,Renly Baratheon
Ian Gelder,Kevan Lannister
Francis Magee,Yoren
Elyes Gabel,Rakharo
Wilko Johnson,Ilyn Payne
Ian McElhinney,Barristan Selmy
Luke Barnes,Rast
Peter Vaughan,Maester Aemon
Josef Altin,Pypar
Owen Teale,Alliser Thorne
Brian Fortune,Othell Yarwyck
Lino Facioli,Robin Arryn
Joseph Mawle[e],Benjen Stark
Kate Dickie,Lysa Arryn
Susan Brown,Septa Mordane
Dar Salim,Qotho
Jamie Sives,Jory Cassel
Emun Elliott,Marillion
Clive Mantle,Greatjon Umber
Mia Soteriou,Mirri Maz Duur
Miltos Yerolemou,Syrio Forel
Finn Jones,Loras Tyrell
Ben Hawkey,Hot Pie
Gerard Jordan,Biter
Andy Beckwith,Rorge
Eros Vlahos,Lommy Greenhands
John Stahl[f],Rickard Karstark
Richard Dormer[g],Beric Dondarrion
Daniel Portman,Podrick Payne
Ben Crompton,Eddison Tollett
Gemma Whelan,Yara Greyjoy
Robert Pugh,Craster
Tony Way,Dontos Hollard
Steven Cole,Kovarro
Ralph Ineson,Dagmer
Nonso Anozie,Xaro Xhoan Daxos
Ian Hanmore,Pyat Pree
Fintan McKeown,Amory Lorch
Forbes KB,Black Lorren
Simon Armstrong,Qhorin Halfhand
Nicholas Blane,Spice King
Slavko Juraga,Silk King
Karl Davies,Alton Lannister
Tara Fitzgerald[h],Selyse Florent
William & James Wilson[i],Little Sam
Anton Lesser,Qyburn
Diana Rigg,Olenna Tyrell
Kerry Ingram,Shireen Baratheon
Ellie Kendrick,Meera Reed
Thomas Brodie-Sangster,Jojen Reed
Noah Taylor,Locke
Ciarán Hinds,Mance Rayder
Tobias Menzies,Edmure Tully
Paul Kaye,Thoros of Myr
Clive Russell,Brynden Tully
Mackenzie Crook,Orell
Philip McGinley,Anguy
Dan Hildebrand,Kraznys mo Nakloz
Paul Bentley,High Septon
Charlotte Hope,Myranda
Will Tudor,Olyvar
Daniel Tuite[j],Lothar Frey
Tim Plester,Black Walder Rivers
Brenock O'Connor,Olly
Roger Ashton-Griffiths,Mace Tyrell
Pedro Pascal,Oberyn Martell
Yuri Kolokolnikov,Styr
Joseph Gatt,Thenn warg
Elizabeth Webster,Walda Bolton
Joel Fry,Hizdahr zo Loraq
Rupert Vansittart,Yohn Royce
Max von Sydow[k],Three-Eyed Raven
Kae Alexander[l],Leaf
Vladimir Furdik[m],Night King
Faye Marsay,The Waif
Michael Condron,Bowen Marsh
Hannah Waddingham,Septa Unella
Rosabell Laurenti Sellers,Tyene Sand
Jessica Henwick,Nymeria Sand
Keisha Castle-Hughes,Obara Sand
DeObia Oparei,Areo Hotah
Alexander Siddig,Doran Martell
Toby Sebastian,Trystane Martell
Ian Whyte,Wun Weg Wun Dar Wun
Richard Rycroft,Maester Wolkan
Staz Nair,Qhono
Bella Ramsey,Lyanna Mormont
Paul Rattray,Harald Karstark
Richard E. Grant,Izembaro
Joe Naufahu,Khal Moro
Essie Davis,Lady Crane
Leigh Gill,Bobono
Rob Callender,Clarenzo
Pilou Asbæk,Euron Greyjoy
Tim McInnerny,Robett Glover
James Faulkner,Randyll Tarly
Tom Hopper[n],Dickon Tarly
Jim Broadbent,Archmaester Ebrose
Brendan Cowell,Harrag
Megan Parkinson,Alys Karstark
